Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,ATTACK
11:33:50.072,0.000746,0.178,0.00419,1.12,0.0214,0.0461,0.525,0.369,0.00477,0.0103,0
10:25:17.443,0.114,0.767,0.148,0.929,10.1,13.3,0.242,0.377,0.00527,0.00694,1
10:24:25.294,0.093,0.641,0.145,1.05,10.5,12.9,0.186,0.26,0.00672,0.00825,1
11:54:07.100,0.000299,0.455,0.000658,0.582,0.00667,0.0627,0.894,0.414,0.000662,0.00622,0
12:21:53.488,0.000382,0.16,0.00239,1.12,0.00635,0.032,0.771,0.37,0.00276,0.0139,0
11:55:54.197,0.00304,1.17,0.0026,0.6,0.0217,0.142,0.847,0.516,0.000212,0.00139,0
10:16:37.654,0.111,1.2,0.093,0.934,11.3,15,0.244,0.358,0.00605,0.00799,0
11:57:53.318,0.063,0.633,0.0995,0.868,10.1,12,0.156,0.271,0.00478,0.00566,1
10:36:24.912,0.039,0.433,0.0902,1.01,2.83,3.81,0.257,0.37,0.0043,0.00578,1
12:01:08.515,0.00492,0.827,0.00595,0.631,0.109,1.02,0.892,0.515,0.00066,0.00614,0
11:34:52.468,0.0459,0.271,0.169,0.961,0.76,2.25,0.644,0.409,0.00275,0.00814,0
10:16:26.134,0.11,1.21,0.091,0.882,5.44,10.4,0.478,0.507,0.00294,0.00564,0
10:16:54.196,0.105,1.28,0.0822,0.855,8.53,11.8,0.274,0.413,0.00481,0.00664,0
11:59:39.427,0.000278,0.454,0.000613,0.575,0.000524,0.0525,0.99,0.438,0.0000559,0.0056,0
11:56:15.218,0.00294,1.22,0.00242,0.571,0.0063,0.118,0.947,0.54,0.0000637,0.0012,0
12:21:25.452,0.000646,0.209,0.00309,1.12,0.0117,0.0448,0.71,0.318,0.00302,0.0116,0
11:34:18.212,0.409,0.483,0.846,1.13,3.74,7.6,0.507,0.486,0.0015,0.00305,1
11:55:59.202,0.00296,1.21,0.00245,0.571,0.00436,0.126,0.965,0.541,0.0000437,0.00126,0
11:34:12.165,0.215,0.225,0.952,1.1,3.7,7.28,0.483,0.425,0.00287,0.00564,1
10:25:47.539,0.0919,0.651,0.141,1.08,10.6,12.3,0.144,0.248,0.00682,0.00797,1
10:24:23.291,0.0909,0.653,0.139,1.06,9.49,11.5,0.176,0.266,0.0062,0.00752,1
12:21:10.435,0.0661,0.122,0.544,1.13,2.8,2.9,0.0317,0.0387,0.00698,0.00723,1
11:36:08.564,0.104,0.163,0.638,1.13,2.97,3.83,0.221,0.262,0.00475,0.00613,1
12:20:14.120,0.000411,0.0852,0.00482,1.1,0.00393,0.00825,0.468,0.457,0.00158,0.00331,0
11:54:19.112,0.00029,0.466,0.000621,0.571,0.000519,0.0552,0.991,0.419,0.0000532,0.00566,0
10:15:09.986,0.126,1.36,0.0933,0.98,3.76,8.28,0.546,0.502,0.00176,0.00389,0
12:00:51.499,0.000285,0.457,0.000623,0.578,0.000879,0.0533,0.983,0.429,0.0000916,0.00555,0
10:42:38.815,0.0729,1.18,0.0615,0.953,7.42,9.28,0.2,0.29,0.00604,0.00755,0
11:54:55.143,0.00029,0.453,0.00064,0.577,0.00137,0.0558,0.975,0.41,0.000141,0.00571,0
10:14:44.436,0.0149,1.27,0.0118,0.753,0.0794,0.822,0.903,0.668,0.000316,0.00327,0
12:20:20.136,0.453,1.51,0.3,1.1,0.21,1.49,0.855,0.936,0.0000771,0.000547,0
10:25:06.920,0.112,0.711,0.157,0.991,13.6,17.7,0.228,0.331,0.00724,0.00938,1
11:34:55.471,0.098,0.433,0.226,0.994,0.97,3.21,0.688,0.483,0.00165,0.00546,0
12:20:38.324,0.000499,0.196,0.00255,1.13,0.00675,0.0344,0.776,0.358,0.00225,0.0115,0
12:01:20.525,0.00133,0.869,0.00153,0.585,0.035,0.254,0.862,0.608,0.000783,0.0057,0
10:25:18.445,0.11,0.711,0.155,1.02,12.6,16.5,0.236,0.335,0.00678,0.00887,1
10:25:21.459,0.0776,0.619,0.125,0.978,10.2,11.8,0.138,0.245,0.0078,0.00904,1
11:33:00.966,0.0441,0.756,0.0583,0.835,0.447,1.18,0.615,0.536,0.00168,0.00443,0
11:57:17.283,0.0496,1.52,0.0327,0.588,6.27,8.42,0.255,0.345,0.00375,0.00504,0
10:25:14.939,0.0872,0.7,0.124,0.947,7.48,8.9,0.16,0.34,0.00509,0.00606,1
10:24:43.827,0.118,0.736,0.16,1.02,13.7,16.1,0.15,0.271,0.00691,0.00813,1
11:54:56.144,0.000285,0.453,0.000628,0.575,0.000741,0.0531,0.986,0.416,0.0000773,0.00554,0
11:55:11.158,0.000297,0.457,0.00065,0.571,0.00426,0.0595,0.928,0.394,0.000425,0.00594,0
11:58:30.352,0.028,2,0.0141,0.575,3.55,4.5,0.21,0.365,0.00376,0.00476,0
